declarationRequestNumber,region,stateAbbreviation,state,Biden 2020,D Governor,R Governor,Dem led,GOP led,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id,
21003,3,VA,Virginia                      ,1,1,,,,0,2021-01-15T00:00:00.000Z,Emergency,National Special Security Event - 59th Presidentia,Other,2021-01-06T00:00:00.000Z,,Turndown,2021-03-18T00:00:00.000Z,0,0,1,0,2021011002,2021-01-06T00:00:00.000Z,b8e21660-9a55-4ca2-a30d-16dd570c3c3b,62
,,,,21,17,39,16,29,,,,,,,,,,,,,,,,,
,,,,35,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.06137184116,0.1788990826,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,278,,,,,,,,,,,,,,,,,,,,
,,,,,48,,,,,,,,,,,,,,,,,,,,
,,,,,0.1472392638,,,,,,,,,,,,,,,,,,,,
