disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,Trump 2024,D Governor,R Governor,Dem-led,GOP-led,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,disasterPageUrl,shapefileUrl,kmzfileUrl,geoJsonUrl,id,hash,lastRefresh
5578,2025-03-27T00:00:00.000Z,TABLE ROCK FIRE,2025-03-26T00:00:00.000Z,,Fire Management,NC,North Carolina                ,Fire,1,1,,,,2025-03-28T00:00:00.000Z,2025-03-28T00:00:00.000Z,,4,0,0,1,1,R,2025-03-27T00:00:00.000Z,https://www.fema.gov/disaster/5578,,,,1604afe5-0e4e-4293-af4d-36dabd9be3f2,ab0c1fb0c84df815ab5048f05ac88ec6dd04844d,2025-03-28T17:42:00.979Z
5577,2025-03-26T00:00:00.000Z,ALARKA FIRE ,2025-03-25T00:00:00.000Z,,Fire Management,NC,North Carolina                ,Fire,1,1,,,,2025-03-27T00:00:00.000Z,2025-03-27T00:00:00.000Z,,4,0,0,1,1,R,2025-03-26T00:00:00.000Z,https://www.fema.gov/disaster/5577,,,,2581bd8a-40f9-49a7-955e-096f51cc6f9c,9c29699efcac23f213c46fd7186d161da8b7627e,2025-03-27T14:42:02.662Z
5574,2025-03-22T00:00:00.000Z,BLACK COVE FIRE COMPLEX,2025-03-19T00:00:00.000Z,,Fire Management,NC,North Carolina                ,Fire,1,1,,,,2025-03-27T00:00:00.000Z,2025-03-27T00:00:00.000Z,,4,0,0,1,1,R,2025-03-22T00:00:00.000Z,https://www.fema.gov/disaster/5574,,,,1ff566f3-b00d-4837-843e-74bfbe6f38db,629b20bc03b0074f77fc5752dc7787c0a9f561a7,2025-03-27T14:42:02.662Z
5628,2026-03-22T00:00:00.000Z,JUMPING JUNIPER FIRE,2026-03-22T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2026-03-23T00:00:00.000Z,2026-03-23T00:00:00.000Z,,6,0,0,1,0,R,2026-03-22T00:00:00.000Z,https://www.fema.gov/disaster/5628,,,,14a62a9f-ef34-4c7c-9309-8d6f97e85ac3,303517b800d5f69eab41a86f2bdfb3bed5f5252c,2026-03-23T12:21:23.692Z
5627,2026-03-22T00:00:00.000Z,DIBBLE CREEK FIRE,2026-03-22T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2026-03-23T00:00:00.000Z,2026-03-23T00:00:00.000Z,,6,0,0,1,0,R,2026-03-22T00:00:00.000Z,https://www.fema.gov/disaster/5627,,,,92672f87-8a99-4ef1-bcb2-4ddf9b8e9810,c8acb5570f286f79d77a80f2910003e625408e8a,2026-03-23T12:21:23.692Z
5626,2026-03-19T00:00:00.000Z,BUCK HORN FIRE,2026-03-19T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2026-03-20T00:00:00.000Z,2026-03-20T00:00:00.000Z,,6,0,0,1,0,R,2026-03-19T00:00:00.000Z,https://www.fema.gov/disaster/5626,,,,56fbe4cd-df3f-483f-8dfa-dce9dce21613,32846a511718ab82a25146cb96a41975c16f76b2,2026-03-20T14:21:15.760Z
5624,2026-03-15T00:00:00.000Z,1170 ROAD FIRE,2026-03-15T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2026-03-17T00:00:00.000Z,2026-03-17T00:00:00.000Z,,6,0,0,1,0,R,2026-03-15T00:00:00.000Z,https://www.fema.gov/disaster/5624,,,,4baa5847-0c0d-41de-a327-d8059bb030de,2e8491348c431cddc3d57914d2693f432c614e74,2026-03-17T16:41:14.891Z
5621,2026-02-19T00:00:00.000Z,RATTLESNAKE FIRE,2026-02-19T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2026-02-20T00:00:00.000Z,2026-02-20T00:00:00.000Z,,6,0,0,1,0,R,2026-02-19T00:00:00.000Z,https://www.fema.gov/disaster/5621,,,,47171bb8-ac8f-415f-bc37-3697e73de6a6,bbcc4b1e9479d74442d23d001bfbe602af145d9f,2026-02-20T14:41:17.653Z
5620,2026-02-19T00:00:00.000Z,HOSPITAL ROAD FIRE,2026-02-19T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2026-02-20T00:00:00.000Z,2026-02-20T00:00:00.000Z,,6,0,0,1,0,R,2026-02-19T00:00:00.000Z,https://www.fema.gov/disaster/5620,,,,83d434cb-e8a7-4e41-952e-c6cacac58456,9114225783c42126b977d062d104097cec9e44cc,2026-02-20T15:01:23.920Z
5618,2026-02-17T00:00:00.000Z,43 FIRE,2026-02-17T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2026-02-18T00:00:00.000Z,2026-02-18T00:00:00.000Z,,6,0,0,1,0,R,2026-02-17T00:00:00.000Z,https://www.fema.gov/disaster/5618,,,,139636b7-e5a6-45de-8a76-cfdaeee16fec,b1f4913bc4bca3fc5244c6f73a1d08db0a1fbfd8,2026-02-18T17:01:07.263Z
