State/Tribe,Type of Extreme Weather,Incident Period Start,Incident Period End,Major Disaster Declaration Request,Major Disaster Declaration Decision,Decision Details,Decision Date,Waiting Period,Summary,Lat,Long,ID
Mississippi,Severe Winter Storm,1/23/2026,1/27/2026,2/3/2026,Approved (partial),Certain types of aid denied and other types of aid in limbo,2/6/2026,3 days,"On 2/3, Mississippi Gov. Tate Reeves (R) requested Individual Assistance and Public Assistance for 36 counties and the Mississippi Band of Choctaw Indians, Public Assistance for 2 counties, and statewide Hazard Mitigation.

On 2/6, FEMA authorized Public Assistance for 38 counties and the Mississippi Choctaw Indian Reservation.

On 3/17, FEMA authorized Public Assistance (category B - Emergency Protective Measures) for 44 additional counties.

Individual Assistance appears to have been denied.

No decision about Hazard Mitigation grants has been announced.",34.31135834,-89.94316642,40
Tennessee,Severe Winter Storm,1/22/2026,,1/28/2026,Approved (partial),Certain types of aid denied and other types of aid in limbo,2/6/2026,9 days,"On 1/28, Tennessee Gov. Bill Lee (R) requested an expedited major disaster declaration, including Individual Assistance and Public Assistance for 23 counties and statewide Hazard Mitigation.

On 2/6, FEMA authorized Public Assistance (categories A and C-G) for 15 counties and Public Assistance category B (Emergency Protective Measures) for 23 counties.

On 3/8, FEMA authorized Public Assistance for an additional 75 counties. As a result, 40 counties are eligible for Public Assistance (categories A and C-G) and 95 counties are eligible for Public Assistance category B (Emergency Protective Measures).

Individual Assistance appears to have been denied.

No decision about Hazard Mitigation grants has been announced.",36.16068182,-86.7768406,41
Rosebud Sioux Tribe,"Severe Storms, Straight-line Winds, and a Tornado ",4/27/2025,4/28/2025,6/26/2025,Rejected,,"12/20/2025 (appeal)

7/22/2025 (original)",177 days (from original request to appeal denial),"On 6/26, the Rosebud Sioux tribal government requested Individual Assistance, Public Assistance, and Hazard Mitigation grants.

On 7/22, FEMA rejected the tribe's request.

On 9/18, the tribe submitted an appeal.

On 12/22, FEMA rejected the tribe's appeal.",43.14292852,-100.9056895,42
Oklahoma,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",4/19/2025,5/6/2025,7/2/2025,Rejected,,"12/20/2025

7/22/2025 (original)",171 days (from original request to appeal denial),"On 7/2, Oklahoma Gov. Kevin Stitt (R) requested Public Assistance and Hazard Mitigation for 22 counties.

On 7/22, FEMA rejected Stitt's request.

On 8/19, Stitt submitted an appeal.

On 12/20, FEMA rejected Stitt's appeal.",34.77278636,-96.67952306,43
Kansas,"Severe Storms, Straight-line Winds, Tornadoes, and Flooding",7/17/2025,7/22/2025,9/17/2025,Approved (partial),Certain jurisdictions excluded and types of aid in limbo,12/19/2025,93 days,"On 9/17, Kansas Gov. Laura Kelly (D) requested Public Assistance for 16 counties and statewide Hazard Mitigation. 

On 12/19, FEMA authorized Public Assistance (categories A-G) for 12 counties (Ford, Johnson, Marion, and Pawnee counties were excluded).

No decision about Hazard Mitigation grants has been announced.",38.95403954,-94.73521084,44
Maryland,Severe Storms and Flooding,5/13/2025,5/14/2025,6/11/2025,Rejected,"According to the office of Maryland Gov. Wes Moore (D), the storms caused more than $33.7 million in damages, which is ""nearly three times the state's qualifying threshold for assistance."" ($11.67 million in FY2025)","10/22/2025 (appeal)

7/22/2025 (original)",133 days (from original request to appeal denial),"On 6/11, Maryland Gov. Wes Moore (D) requested Public Assistance (categories A-G) for 2 counties and Hazard Mitigation for an unspecified number of counties.

On 7/22, FEMA rejected Moore's request.

On 8/19, Moore submitted an appeal.

On 10/22, FEMA rejected Moore's appeal, eliciting criticism from Moore and others.",39.48998451,-79.04320986,45
Alaska,"Severe Storms, Straight-line Winds, and Remnants of Typhoon Halong",10/8/2025,10/13/2025,10/16/2025,Approved (partial),Certain types of aid in limbo,10/22/2025,6 days,"On 10/16, Alaska Gov. Mike Dunleavy (R) requested Individual Assistance and Public Assistance for 2 Regional Education Attendance Areas and 1 Borough, along with statewide Hazard Mitigation.

On 10/22, FEMA authorized Individual Assistance and Public Assistance (categories A-G) for 2 Regional Educational Attendance Areas (Lower Kuskokwim and Lower Yukon) and 1 Borough (Northwest Arctic).

On 2/3/26, FEMA authorized Individual Assistance and Public Assistance (categories A-G) for 2 additional Regional Educational Attendance Areas (Kashunamiut and Yupiit) and 1 City School District (St. Marys), as well as Public Assistance (categories A-G) for 4 additional Regional Educational Attendance Areas (Bering Strait, Iditarod Area, Pribilof Island, and Yukon Koyukuk).

No decision about Hazard Mitigation grants has been announced.",62.77983013,-164.4201553,46
Nebraska,"Severe Storms, Straight-line Winds, and Flash Flooding",8/8/2025,8/10/2025,9/4/2025,Approved (partial),Certain types of aid in limbo,10/22/2025,48 days,"On 9/4, Nebraska Gov. Jim Pillen (R) requested Public Assistance for 12 counties and statewide Hazard Mitigation.

On 10/22, FEMA authorized Public Assistance (categories A-G) for 12 counties.

No decision about Hazard Mitigation grants has been announced.",41.54490959,-96.13474554,47
North Dakota,"Severe Storms, Straight-line Winds, and Tornadoes",8/7/2025,8/8/2025,9/4/2025,Approved (partial),Certain types of aid in limbo,10/22/2025,48 days,"On 9/4, North Dakota Gov. Kelly Armstrong (R) requested Public Assistance for 7 counties and statewide Hazard Mitigation.

On 10/22, FEMA authorized Public Assistance (categories A-G) for 7 counties.

No decision about Hazard Mitigation grants has been announced.",46.91067696,-98.70624026,48
Leech Lake Band of Ojibwe,Severe Storm and Straight-line Winds,6/21/2025,6/21/2025,8/18/2025,Approved (partial),Certain types of aid in limbo,10/22/2025,65 days,"On 8/18, the Leech Lake Band of Ojibwe requested Individual Assistance, Public Assistance, and Hazard Mitigation grants for all of its tribal land.

On 10/22, FEMA authorized Individual Assistance and Public Assistance (categories A-G) throughout the Leech Lake Indian Reservation.

No decision about Hazard Mitigation grants has been announced.",47.32962085,-94.23584243,49
